ts,bid.curr.mth,target.7sec,baseline,R01_bid.curr.mth,R01_target.7sec
2016-02-01 11:29,82500,83000,81500,1000,1500
2016-02-01 11:29,82600,83000,81500,1100,1500
2016-02-01 11:29,82600,83000,81500,1100,1500
2016-02-01 11:29,82700,83100,81500,1200,1600
2016-02-01 11:29,82700,83100,81500,1200,1600
2016-02-01 11:29,82800,83200,81500,1300,1700
2016-02-01 11:29,82900,83200,81500,1400,1700
2016-02-01 11:29,83000,83200,81500,1500,1700
2016-03-01 11:29,81500,81600,81500,0,100
2016-03-01 11:29,81500,81600,81500,0,100
2016-03-01 11:29,81500,81700,81500,0,200
2016-03-01 11:29,81500,81700,81500,0,200
2016-03-01 11:29,81500,81800,81500,0,300
2016-03-01 11:29,81500,81800,81500,0,300
2016-03-01 11:29,81600,81800,81500,100,300
2016-03-01 11:29,81600,81800,81500,100,300
2016-03-01 11:29,81600,81800,81500,100,300
2016-03-01 11:29,81700,81800,81500,200,300
2016-03-01 11:29,81700,81800,81500,200,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81800,81500,300,300
2016-03-01 11:29,81800,81900,81500,300,400
2016-03-01 11:29,81800,81900,81500,300,400
2016-03-01 11:29,81800,82000,81500,300,500
2016-03-01 11:29,81800,82000,81500,300,500
2016-03-01 11:29,81800,82100,81500,300,600
2016-03-01 11:29,81800,82100,81500,300,600
2016-03-01 11:29,81800,82100,81500,300,600
2016-03-01 11:29,81900,82100,81500,400,600
2016-03-01 11:29,81900,82100,81500,400,600
2016-03-01 11:29,82000,82100,81500,500,600
2016-03-01 11:29,82000,82100,81500,500,600
2016-03-01 11:29,82100,82200,81500,600,700
2016-03-01 11:29,82100,82200,81500,600,700
2016-03-01 11:29,82100,82200,81500,600,700
2016-03-01 11:29,82100,82300,81500,600,800
2016-03-01 11:29,82100,82400,81500,600,900
2016-03-01 11:29,82100,82400,81500,600,900
2016-03-01 11:29,82100,82500,81500,600,1000
2016-03-01 11:29,82200,82500,81500,700,1000
2016-03-01 11:29,82200,82600,81500,700,1100
2016-03-01 11:29,82200,82700,81500,700,1200
2016-03-01 11:29,82300,82800,81500,800,1300
2016-03-01 11:29,82400,82800,81500,900,1300
2016-03-01 11:29,82400,82900,81500,900,1400
2016-03-01 11:29,82500,83000,81500,1000,1500
2016-03-01 11:29,82500,83000,81500,1000,1500
2016-03-01 11:29,82600,83000,81500,1100,1500
2016-03-01 11:29,82700,83000,81500,1200,1500
