ts,R01_bid.curr.mth,R01_target.7sec
2015-08-01 11:29:00,81100,81400
2015-08-01 11:29:00,81200,81400
2015-08-01 11:29:00,81200,81400
2015-08-01 11:29:00,81200,81400
2015-08-01 11:29:00,81300,81400
2015-08-01 11:29:00,81300,81400
2015-08-01 11:29:00,81300,81400
2015-08-01 11:29:00,81400,81400
2015-08-01 11:29:00,81400,81400
2015-08-01 11:29:00,81400,81400
2015-08-01 11:29:00,81400,81400
2015-08-01 11:29:00,81400,81500
2015-08-01 11:29:00,81400,81500
2015-08-01 11:29:00,81400,81500
2015-08-01 11:29:00,81400,81500
2015-08-01 11:29:00,81400,81600
2015-08-01 11:29:00,81400,81600
2015-08-01 11:29:00,81400,81600
2015-08-01 11:29:00,81500,81700
2015-08-01 11:29:00,81500,81700
2015-08-01 11:29:00,81500,81700
2015-08-01 11:29:00,81500,81700
2015-08-01 11:29:00,81600,81800
2015-08-01 11:29:00,81600,81800
2015-08-01 11:29:00,81600,81800
2015-08-01 11:29:00,81700,81800
2015-08-01 11:29:00,81700,81900
2015-08-01 11:29:00,81700,81900
2015-08-01 11:29:00,81700,81900
2015-08-01 11:29:00,81800,82000
2015-08-01 11:29:00,81800,82000
2015-08-01 11:29:00,81800,82000
2015-08-01 11:29:00,81800,82000
2015-08-01 11:29:00,81900,82100
2015-08-01 11:29:00,81900,82100
2015-08-01 11:29:00,81900,82200
2015-08-01 11:29:00,82000,82200
2015-08-01 11:29:00,82000,82300
2015-08-01 11:29:00,82000,82400
2015-08-01 11:29:00,82000,82500
2015-08-01 11:29:00,82100,82500
2015-08-01 11:29:00,82100,82500
2015-08-01 11:29:00,82200,82600
2015-08-01 11:29:00,82200,82600
2015-09-01 11:29:00,80800,81000
2015-09-01 11:29:00,80800,81000
2015-09-01 11:29:00,80800,81000
2015-09-01 11:29:00,80900,81100
2015-09-01 11:29:00,80900,81100
2015-09-01 11:29:00,80900,81100
2015-09-01 11:29:00,80900,81100
2015-09-01 11:29:00,81000,81100
2015-09-01 11:29:00,81000,81100
2015-09-01 11:29:00,81000,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81100
2015-09-01 11:29:00,81100,81200
2015-09-01 11:29:00,81100,81200
2015-09-01 11:29:00,81100,81200
2015-09-01 11:29:00,81100,81300
2015-09-01 11:29:00,81100,81300
2015-09-01 11:29:00,81100,81400
2015-09-01 11:29:00,81100,81400
2015-09-01 11:29:00,81200,81400
2015-09-01 11:29:00,81200,81400
2015-09-01 11:29:00,81200,81400
2015-09-01 11:29:00,81300,81400
2015-09-01 11:29:00,81300,81400
2015-09-01 11:29:00,81400,81400
2015-09-01 11:29:00,81400,81400
2015-09-01 11:29:00,81400,81400
2015-09-01 11:29:00,81400,81500
2015-09-01 11:29:00,81400,81500
2015-09-01 11:29:00,81400,81500
2015-09-01 11:29:00,81400,81500
2015-09-01 11:29:00,81400,81600
2015-09-01 11:29:00,81400,81600
2015-09-01 11:29:00,81400,81700
2015-09-01 11:29:00,81500,81700
2015-09-01 11:29:00,81500,81700
2015-09-01 11:29:00,81500,81800
2015-09-01 11:29:00,81500,81800
2015-09-01 11:29:00,81600,81800
2015-09-01 11:29:00,81600,81900
2015-09-01 11:29:00,81700,82000
2015-09-01 11:29:00,81700,82000
2015-09-01 11:29:00,81700,82000
2015-09-01 11:29:00,81800,82100
2015-10-01 11:29:00,83800,83800
2015-10-01 11:29:00,83800,83800
2015-10-01 11:29:00,83800,83900
2015-10-01 11:29:00,83800,83900
2015-10-01 11:29:00,83800,83900
2015-10-01 11:29:00,83800,84000
2015-10-01 11:29:00,83800,84000
